session,combo,n_ind,stop,trades,win_rate,pnl,avg_win,avg_loss,max_dd,consec_L,sharpe,exp,score
04:00-08:00,VWAP+VOL,2,40,101,79.2,24177.0,344.0,-160.0,-612.0,3,0.91,239.4,24093.0
04:00-08:00,STOCH+VWAP+VOL,3,40,106,79.2,23809.0,330.0,-177.0,-816.0,4,0.86,224.6,23612.0
04:00-08:00,BB+VWAP+VOL,3,40,104,76.0,23240.0,346.0,-163.0,-612.0,3,0.83,223.5,23138.0
06:00-10:00,STOCH+MACD+VOL,3,40,116,72.4,23346.0,347.0,-180.0,-1224.0,6,0.75,201.3,22920.0
04:00-08:00,STOCH+BB+VWAP+VOL,4,40,109,77.1,23125.0,329.0,-181.0,-816.0,4,0.82,212.2,22919.0
06:00-10:00,MACD+VOL,2,40,112,73.2,23171.0,347.0,-176.0,-919.0,5,0.76,206.9,22899.0
06:00-10:00,STOCH+VOL,2,40,115,72.2,23151.0,346.0,-174.0,-1224.0,6,0.74,201.3,22724.0
04:00-08:00,MACD+VWAP+VOL,3,40,103,75.7,22396.0,343.0,-175.0,-816.0,4,0.8,217.4,22185.0
04:00-08:00,STOCH+BB+VOL,3,40,108,75.9,22383.0,331.0,-182.0,-816.0,4,0.77,207.2,22166.0
06:00-10:00,BB+MACD+VWAP+VOL,4,40,115,70.4,22447.0,352.0,-178.0,-941.0,5,0.71,195.2,22154.0
06:00-10:00,BB+VWAP+VOL,3,40,113,71.7,22372.0,346.0,-177.0,-793.0,5,0.71,198.0,22154.0
04:00-08:00,BB+VOL,2,40,105,73.3,22258.0,348.0,-162.0,-612.0,3,0.77,212.0,22142.0
04:00-08:00,STOCH+VOL,2,40,107,76.6,22500.0,329.0,-180.0,-1121.0,5,0.77,210.3,22131.0
06:00-10:00,STOCH+BB+VWAP+VOL,4,40,117,70.9,22405.0,343.0,-178.0,-937.0,5,0.71,191.5,22114.0
06:00-10:00,STOCH+BB+MACD+VOL,4,40,118,70.3,22464.0,348.0,-182.0,-1224.0,6,0.71,190.4,22028.0
04:00-08:00,STOCH+MACD+VWAP+VOL,4,40,107,76.6,22231.0,328.0,-188.0,-816.0,4,0.77,207.8,22016.0
04:00-08:00,MACD+VOL,2,40,101,77.2,22121.0,338.0,-186.0,-612.0,3,0.78,219.0,22009.0
06:00-10:00,MACD+VWAP+VOL,3,40,114,71.1,22168.0,347.0,-180.0,-875.0,5,0.7,194.5,21906.0
06:00-10:00,STOCH+MACD+VWAP+VOL,4,40,117,70.1,22301.0,349.0,-181.0,-1224.0,6,0.7,190.6,21863.0
06:00-10:00,STOCH+BB+VOL,3,40,117,70.9,22278.0,343.0,-182.0,-1224.0,6,0.7,190.4,21841.0
06:00-10:00,BB+MACD+VOL,3,40,114,70.2,22171.0,355.0,-182.0,-1227.0,6,0.69,194.5,21732.0
06:00-10:00,BB+VOL,2,40,112,71.4,22096.0,348.0,-181.0,-1079.0,6,0.69,197.3,21731.0
06:00-10:00,STOCH+VWAP+VOL,3,40,116,69.8,22106.0,349.0,-175.0,-1224.0,6,0.69,190.6,21667.0
06:00-10:00,VWAP+VOL,2,40,112,70.5,21867.0,350.0,-174.0,-875.0,5,0.7,195.2,21604.0
04:00-08:00,BB+MACD+VWAP+VOL,4,40,106,71.7,21353.0,348.0,-170.0,-816.0,4,0.72,201.4,21126.0
04:00-08:00,STOCH+MACD+VOL,3,40,108,74.1,20923.0,328.0,-189.0,-1100.0,5,0.69,193.7,20547.0
04:00-08:00,STOCH+BB+MACD+VOL,4,40,109,72.5,20700.0,332.0,-185.0,-816.0,4,0.68,189.9,20465.0
06:00-10:00,STOCH+MACD+VOL,3,30,135,72.6,20684.0,267.0,-149.0,-924.0,6,0.79,153.2,20416.0
04:00-08:00,BB+MACD+VOL,3,40,107,69.2,20372.0,350.0,-168.0,-816.0,4,0.67,190.4,20132.0
04:00-08:00,VWAP+VOL,2,30,121,75.2,20076.0,267.0,-141.0,-774.0,5,0.85,165.9,19897.0
04:00-08:00,BB+VWAP+VOL,3,30,123,74.0,20011.0,270.0,-141.0,-774.0,5,0.84,162.7,19829.0
06:00-10:00,STOCH+MACD+VWAP+VOL,4,30,137,70.8,19926.0,267.0,-149.0,-924.0,6,0.74,145.4,19648.0
